unitid,institution name,year,EF2013D.Student-to-faculty ratio,"DRVIC2013.Tuition and fees, 2013-14",HD2013.Institution size category,HD2013.FIPS state code,HD2013.Geographic region,HD2013.Level of institution,HD2013.Control of institution,HD2013.Degree-granting status,HD2013.Historically Black College or University,HD2013.Tribal college,HD2013.Degree of urbanization (Urban-centric locale),HD2013.Institutional category,HD2013.Carnegie Classification 2010: Basic,HD2013.Carnegie Classification 2010: Undergraduate Instructional Program,HD2013.Carnegie Classification 2010: Graduate Instructional Program,HD2013.Carnegie Classification 2010: Undergraduate Profile,HD2013.Carnegie Classification 2010: Enrollment Profile,HD2013.Carnegie Classification 2010: Size and Setting,HD2013.Land Grant Institution,HD2013.Carnegie Classification 2000,HD2013.Data Feedback Report comparison group category created by NCES
122685,San Joaquin Valley College-Visalia,2013,18,16606,"1,000 - 4,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,Rural: Fringe,"Degree-granting, associate's and certificates",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,Associates Colleges,"Private, for-profit, 2-year degree granting, Far Western region /1 of 4"
122694,San Joaquin Valley College-Bakersfield,2013,20,16492,"Under 1,000",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,{Item not available},"Private, for-profit, 2-year degree granting, Far Western region /2 of 4"
122728,William Jessup University,2013,13,24040,"1,000 - 4,999",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,Rural: Fringe,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",Very high undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - postbaccalaureate, undergraduate degrees/certificates offered"
122746,San Jose City College,2013,25,1324,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Large,"Degree-granting, associate's and certificates",Associate's--Public Urban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states /1 of 2"
122755,San Jose State University,2013,22,7343,"20,000 and above",California,Far West AK CA HI NV OR WA,Four or more years,Public,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Professions plus arts & sciences, high graduate coexistence",Postbaccalaureate comprehensive,"Medium full-time four-year, selective, higher transfer-in",High undergraduate,"Large four-year, primarily nonresidential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), public /1 of 5"
122791,College of San Mateo,2013,26,1418,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, suburban locale"
122834,Santa Barbara Business College-Bakersfield,2013,14,12464,"Under 1,000",California,Far West AK CA HI NV OR WA,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, not primarily baccalaureate or above",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,Not a Land Grant Institution,{Item not available},"Private for-profit, 4-year, Carnegie Classification of Associates /2 of 3"
122843,Westwood College-Los Angeles,2013,15,15080,"Under 1,000",California,Far West AK CA HI NV OR WA,Four or more years,Private for-profit,Degree-granting,No,No,City: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Diverse Fields,"Professions focus, some graduate coexistence",Single postbaccalaureate (business),Higher part-time four-year,Very high undergraduate,"Small four-year, primarily nonresidential",Not a Land Grant Institution,{Item not available},"Baccalaureate Colleges--Arts & Sciences or Diverse Fields, private for-profit /1 of 2"
122852,Santa Barbara Business College-Santa Maria,2013,14,12464,"Under 1,000",California,Far West AK CA HI NV OR WA,Four or more years,Private for-profit,Degree-granting,No,No,City: Small,"Degree-granting, not primarily baccalaureate or above",Associate's--Private For-profit,Associates,Not applicable,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,Not a Land Grant Institution,{Item not available},"Private for-profit, 4-year, Carnegie Classification of Associates /3 of 3"
122889,Santa Barbara City College,2013,47,1374,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
122931,Santa Clara University,2013,12,42156,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Midsize,"Degree-granting, primarily baccalaureate or above",Master's Colleges and Universities (larger programs),"Balanced arts & sciences/professions, some graduate coexistence",Single doctoral (other field),"Full-time four-year, more selective, lower transfer-in",Majority undergraduate,"Medium four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities I,"Masters Colleges and Universities (larger programs), private not-for-profit /1 of 7"
122977,Santa Monica College,2013,30,1140,"20,000 and above",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Small,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
123013,Santa Rosa Junior College,2013,22,1280,"20,000 and above",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /1 of 3"
123165,Scripps College,2013,10,45564,"1,000 - 4,999",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Arts & sciences focus, no graduate coexistence",Not applicable,"Full-time four-year, more selective, lower transfer-in",Very high undergraduate,"Very small four-year, highly residential",Not a Land Grant Institution,Baccalaureate Colleges--Liberal Arts,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /6 of 7"
123217,College of the Sequoias,2013,30,1362,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,City: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Mixed part/full-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /3 of 3"
123280,Shasta Bible College and Graduate School,2013,5,10360,"Under 1,000",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above","Theological seminaries, Bible colleges, and other faith-related institutions","Not applicable, special focus institution","Not applicable, special focus institution","Not applicable, special focus institution",High undergraduate,"Not applicable, special focus institution",Not a Land Grant Institution,Theological seminaries and other specialized faith-related institutions,"Theological seminaries/Bible colleges/other faith-related institutions, highest level - postbaccalaureate, undergraduate degrees/certificates offered"
123299,Shasta College,2013,29,1183,"5,000 - 9,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Midsize,"Degree-granting, associate's and certificates",Associate's--Public Rural-serving Large,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, medium size, western states, suburban locale"
123341,Sierra College,2013,27,1150,"10,000 - 19,999",California,Far West AK CA HI NV OR WA,At least 2 but less than 4 years,Public,Degree-granting,No,No,Suburb: Large,"Degree-granting, associate's and certificates",Associate's--Public Suburban-serving Multicampus,Associates,Not applicable,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,Not a Land Grant Institution,Associates Colleges,"Public, 2-year colleges, large size, western states /2 of 3"
123457,Simpson University,2013,11,23300,"1,000 - 4,999",California,Far West AK CA HI NV OR WA,Four or more years,Private not-for-profit,Degree-granting,No,No,City: Small,"Degree-granting, primarily baccalaureate or above",Baccalaureate Colleges--Arts & Sciences,"Balanced arts & sciences/professions, some graduate coexistence",Postbaccalaureate professional (education dominant),"Full-time four-year, selective, higher transfer-in",Very high undergraduate,"Small four-year, primarily residential",Not a Land Grant Institution,Masters Colleges and Universities II,"Baccalaureate Colleges--Arts & Sciences, private not-for-profit /5 of 7"
